date,price,volume
2024-09-06,220.82,48423000
2024-09-09,220.91,67180000
2024-09-10,220.11,51591000
2024-09-11,222.66,44587100
2024-09-12,222.77,37498200
2024-09-13,222.50,36766600
2024-09-16,216.32,59357400
2024-09-17,216.79,45519300
2024-09-18,220.69,59894900
2024-09-19,228.87,66781300
2024-09-20,228.20,318679900
2024-09-23,226.47,54146000
2024-09-24,227.37,43556100
2024-09-25,226.37,42308700
2024-09-26,227.52,36636700
2024-09-27,227.79,34026000
2024-09-30,233.00,54541900
2024-10-01,226.21,63285000
2024-10-02,226.78,32880600
2024-10-03,225.67,34044200
2024-10-04,226.80,37245100
